Name,Age,Date,Monthly_Family_Income,Option_Selected,Experience,Unknown_feature,City,Country,Work_Authorization,Gender,Contact_number,Email,Marital_Status,Employment_type,Applied_role,Skill_1,Skill_2,Rating,Applied_company
Nicole Clark,47,08-02-22,45133,B,No,1,Toddview,United States of America,0,F,12679321072,not_provided,married,freelancer,"Engineer, electrical",Unknown,PowerBI,7,Unknown
Maria Lee,42,08-02-22,16453,UNKNOWN,No,4,Mcconnellville,Zambia,0,M,+15467784989x84287,not_provided,single,freelancer,Clinical embryologist,SQL,Unknown,3,Huerta Ltd
Mrs. Natalie Rice,42,10-02-22,99886,A,No,3,Charlesland,Dominican Republic,1,F,+15854253043x49269,not_provided,married,freelancer,Records manager,Excel,R,8,Unknown
Jo Liu,42,06-03-22,129683,A,No,1,West Patrickstad,Algeria,1,M,+18543809569x8717,not_provided,single,unemployed,Rural practice surveyor,SQL,PowerBI,3,Unknown
Charles Wilson,54,06-03-22,105387,C,Yes,1,West William,Northern Mariana Islands,0,Other,17414075415,not_provided,married,unemployed,"Teacher, special educational needs",SQL,PowerBI,3,Unknown
Daniel Brown,42,08-03-22,132958,B,Yes,4,East Edward,Belize,1,M,+15749575322x205,not_provided,married,employed,Oncologist,Unknown,Unknown,9,Unknown
Linda Peck,32,10-03-22,107422,A,No,1,Carlosview,Maldives,1,M,15555341254,not_provided,single,unemployed,Operational researcher,Unknown,PowerBI,4,Unknown
Joseph Brooks,22,06-04-22,82310,UNKNOWN,Yes,1,Lake Heatherborough,Myanmar,0,F,+17040339213x783,not_provided,single,employed,Physiotherapist,Unknown,Unknown,6,Unknown
Dr. Paul Nelson,42,07-04-22,25027,B,No,1,New Danielfurt,Senegal,0,Other,+13711321336x7772,not_provided,single,unemployed,Architectural technologist,Unknown,Unknown,8,Page-Campos
Juan Fisher,42,08-04-22,106944,A,Yes,3,South Richardland,Gambia,1,M,+13207259686x34565,not_provided,single,freelancer,"Doctor, general practice",Python,Unknown,0,Unknown
Amanda Johnson,42,10-04-22,131367,C,No,4,East Marcus,Ecuador,1,M,+19724258134x024,not_provided,married,freelancer,Public relations account executive,SQL,Tableau,2,"Richard, Bowen and Baldwin"
Kathryn Larson,22,06-05-22,47829,A,Yes,3,Kington,Romania,1,Other,+11144249807x18885,vwaters@baker-massey.com,married,freelancer,Tax inspector,Excel,Unknown,6,Unknown
Angela Henry,24,09-05-22,19656,A,Yes,4,East Christopher,Poland,1,F,13119376543,mark05@mccoy.net,married,freelancer,Leisure centre manager,Python,R,9,Unknown
William Morgan,42,11-05-22,109083,B,Yes,1,South Michaelafort,Palestinian Territory,0,Other,+15613061320x48036,dave30@hotmail.com,single,freelancer,"Production assistant, television",Unknown,PowerBI,1,Brown PLC
Brandon Austin,42,12-05-22,131688,UNKNOWN,Yes,3,North Benjamin,Cyprus,0,Other,+17374986905x2633,not_provided,married,freelancer,"Production designer, theatre/television/film",Python,Unknown,8,"Trujillo, Welch and Singleton"
Kelsey Warren,42,02-06-22,42251,A,No,2,East Debrafurt,Bulgaria,0,F,11241340332,not_provided,single,employed,Music therapist,Excel,Tableau,9,Unknown
Heidi Watson,62,05-06-22,7070,C,Yes,4,Port Paul,Panama,1,Other,+10680089441x065,not_provided,single,unemployed,Fish farm manager,Python,R,2,Holloway-Brown
Karen Anderson,42,06-06-22,87240,B,Yes,2,East Jacquelineview,France,0,M,+14337756553x89317,not_provided,married,unemployed,"Nurse, mental health",Unknown,R,7,"Conner, Gould and Evans"
Phyllis Mcdonald,42,06-06-22,116333,C,Yes,2,Jenkinsside,Malaysia,0,F,+15173702984x760,not_provided,married,employed,Applications developer,Unknown,Unknown,8,Thomas-Taylor
Matthew Delgado,48,10-06-22,49774,B,No,2,Pageside,Central African Republic,0,F,+13840748933x1360,hsharp@gilbert.com,married,employed,Special effects artist,Python,Unknown,10,Unknown
Stephanie Stevens,42,14-06-22,25697,UNKNOWN,Yes,1,Johnsonside,Bahamas,0,M,+15498382061x50228,not_provided,married,unemployed,Arboriculturist,SQL,Tableau,2,Unknown
Danielle Luna,42,15-06-22,138463,UNKNOWN,No,1,Catherinebury,Gibraltar,1,M,18255676123,delacruzjohnathan@roman-ritter.biz,single,unemployed,"Lecturer, higher education",Unknown,Unknown,2,Unknown
Mitchell Murphy,56,20-06-22,138216,C,No,4,New Laurieland,United States of America,1,F,14401672454,not_provided,single,employed,"Research officer, trade union",SQL,Unknown,8,Unknown
Jeff Brown,42,21-06-22,117744,B,Yes,3,South Kelly,United Kingdom,0,F,12375650459,not_provided,married,unemployed,Biomedical scientist,Python,Unknown,2,Unknown
Debra Henry,25,22-06-22,81194,A,No,3,Tanyaland,British Virgin Islands,0,F,+10864473576x32467,davidfrancis@robles.com,single,freelancer,"Engineer, electronics",Python,Unknown,7,Unknown
Stephen Campbell,42,25-06-22,73670,C,No,2,South Charles,Uzbekistan,1,Other,+15863099012x982,smithjoshua@allen.com,single,employed,"Radiographer, diagnostic",SQL,Unknown,0,"White, Myers and Hall"
Michael Marks,42,27-06-22,21577,A,Yes,3,East Bobby,Trinidad and Tobago,1,Other,17780693239,not_provided,married,freelancer,"Producer, radio",Excel,R,7,"Gordon, Jones and Spears"
Melissa Davis,60,29-06-22,105844,B,No,1,Smithport,Slovenia,1,M,+16330438249x883,shernandez@huynh.biz,single,unemployed,Soil scientist,Excel,Unknown,4,Rasmussen PLC
Raymond Booth,42,29-06-22,17517,A,Yes,1,New Timothy,Central African Republic,1,M,14671580242,carolmckinney@gmail.com,single,unemployed,"Horticulturist, commercial",Unknown,PowerBI,10,Unknown
Hector Lee,65,29-06-22,51413,UNKNOWN,Yes,2,South Michael,Bouvet Island (Bouvetoya),1,Other,+14498626817x0607,not_provided,married,freelancer,"Surveyor, rural practice",SQL,PowerBI,6,Unknown
Jennifer Jackson,19,03-07-22,141043,C,No,2,Port Anna,Yemen,1,F,+11418527101x67449,not_provided,single,unemployed,Industrial/product designer,Unknown,Unknown,0,Unknown
Austin Gonzales,42,04-07-22,87148,UNKNOWN,No,2,Alexanderberg,Bahamas,1,Other,+14149798279x4685,nicolepeterson@yahoo.com,married,freelancer,Insurance broker,Unknown,R,5,Unknown
Michael Russell,27,05-07-22,103869,A,Yes,1,West Scottchester,Macedonia,1,F,+14129141705x12798,not_provided,single,freelancer,Youth worker,Unknown,PowerBI,8,Walker Group
Mario Jones,42,13-07-22,49490,B,No,1,New Juanstad,Morocco,0,F,+17416223639x254,not_provided,married,employed,Advertising copywriter,Excel,Tableau,7,Clark Inc
Elizabeth Mcintyre,49,17-07-22,145914,C,Yes,4,Laurastad,Netherlands Antilles,1,Other,+17268973827x10292,not_provided,married,freelancer,"Research officer, political party",Excel,Unknown,9,Mendoza LLC
Joshua Benson,42,17-07-22,9265,B,No,1,South Jenniferfort,Luxembourg,1,Other,12688261556,not_provided,single,freelancer,Broadcast presenter,Unknown,PowerBI,8,"Medina, Cruz and Davis"
